Tissue,Celltype,n_genes,k_hat_young,int_dim_young,v_X_young,v_eps_lin_young,v_eps_lin_young * n_genes,v_eps_nonlin_young,v_eps_nonlin_young * k_hat_young,k_hat_old,int_dim_old,v_X_old,v_eps_lin_old,v_eps_lin_old * n_genes,v_eps_nonlin_old,v_eps_nonlin_old * k_hat_old,which_X,is_significant_X,which_eps_non_lin,is_significant_eps_non_lin,which_eps_lin,is_significant_eps_lin,gcl_young,gcl_old
Thymus,thymocyte,1206,15.66666667,4,51351.45644,2.240768267,2702.36653,246.1307153,3856.047874,28.66666667,5,53128.08587,1.6579079,1999.436927,136.1778579,3903.76526,,FALSE,young,TRUE,young,TRUE,0.997292205,0.997621688
Thymus,immature T cell,1206,7.666666667,2,4325.093808,0.5494172,662.5971432,182.9266203,1402.437422,11.66666667,2,4453.979367,0.486346017,586.5332965,111.6030415,1302.035485,old,TRUE,young,TRUE,young,TRUE,0.93133716,0.991956192
Thymus,DN4 thymocyte,1206,11,4,15421.88278,1.629844133,1965.592024,218.3126041,2401.438645,25.33333333,4,16898.80093,0.865492383,1043.783814,162.9898681,4129.076658,,FALSE,young,TRUE,young,TRUE,0.975866124,0.994880021
Liver,hepatocyte,1981,34.66666667,4,187834.9643,1.254564167,2485.291615,683.9096269,23708.86707,19,4,217419.5405,1.979829167,3922.04158,786.1134046,14936.15469,old,TRUE,old,TRUE,old,TRUE,0.996478606,0.990473897
Liver,Kupffer cell,1981,18,3,15716.80837,0.500295873,991.0861244,236.824073,4262.833314,43.33333333,3,305280.3002,2.848852467,5643.576737,1485.239518,64360.37911,old,TRUE,old,TRUE,old,TRUE,0.975050376,0.983851582
Liver,NK cell,1981,8.666666667,3,4525.615181,0.47691191,944.7624937,62.97944332,545.8218421,11,4,15063.38794,0.845811287,1675.55216,163.7900106,1801.690117,old,TRUE,old,TRUE,old,TRUE,0.939261471,0.939316484
Heart_and_Aorta,fibroblast of cardiac tissue,1867,14.66666667,5.333333333,81702.00304,2.766222633,5164.537656,411.3395505,6032.980075,35,3,44430.33791,1.947582767,3636.137026,745.4947887,26092.3176,young,TRUE,old,TRUE,young,TRUE,0.974568333,0.985553272
Heart_and_Aorta,endothelial cell of coronary artery,1867,12.5,3,17374.3493,0.70658657,1319.197126,371.9825722,4649.782153,25.5,4,19995.92609,0.48247287,900.7768483,122.3626388,3120.247289,old,TRUE,young,TRUE,young,TRUE,0.959538724,0.983488448
Mammary_Gland,T cell,2168,17.33333333,5,21953.75821,0.53091269,1151.018712,192.6937085,3340.02428,27.33333333,4,41269.95864,0.531666467,1152.6529,194.7908451,5324.283099,old,TRUE,old,TRUE,old,TRUE,0.95340482,0.959616113
Mammary_Gland,luminal epithelial cell of mammary gland,2168,18.33333333,4.333333333,169864.0184,8.1200985,17604.37355,1702.070745,31204.63032,29,5,126528.6733,4.200761967,9107.251944,1122.401175,32549.63408,young,TRUE,young,TRUE,young,TRUE,0.977725346,0.978293365
Mammary_Gland,B cell,2168,12,3,6816.011176,0.51197623,1109.964467,309.7109241,3716.531089,15,3,79301.29167,1.047773375,2271.572677,1599.305405,23989.58108,old,TRUE,old,TRUE,old,TRUE,0.906542586,0.9327816
Mammary_Gland,stromal cell,2168,20.33333333,5,78757.56943,4.5482507,9860.607518,989.8462409,20126.87356,43.66666667,6,57854.99573,1.856387867,4024.648896,340.5953235,14872.66246,young,TRUE,young,TRUE,young,TRUE,0.979281149,0.986992434
Mammary_Gland,basal cell,2168,12.66666667,5.333333333,47281.44067,4.1260845,8945.351196,662.0662554,8386.172571,17.33333333,6,28576.4611,1.7131683,3714.148874,292.5607904,5071.053699,young,TRUE,young,TRUE,young,TRUE,0.973342849,0.985465103
Mammary_Gland,endothelial cell,2168,13.5,2,29358.41159,6.19823765,13437.77923,3463.212016,46753.36222,17.5,4,43125.49395,2.2796215,4942.219412,564.8723983,9885.26697,old,TRUE,young,TRUE,young,TRUE,0.953705316,0.945188857
